,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,y
88bc5010224676a9033bf3b7df333c8d.1,14.0,14.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
ed3fb0e053851fee37f8019bbd8edd51.0,39.0,39.0,16.0,16.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6395c009a5ed3785cc0a430917aee9e7.0,363.0,362.0,150.0,150.0,2.0,2.0,2.0,37.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1ff393c9403f21a27ea652c19077555b.0,88.0,88.0,43.0,43.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bcbe1197dd5333842a64a6d9ae71c193.0,77.0,77.0,30.0,30.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4847b45abc9cc646e7a0062eec46aa68.1,14.0,14.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
a505f2be15cd632f24908e285fb7cebb.0,2127.0,2127.0,754.0,754.0,2.0,2.0,2.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9d0101d2e4667479d72b0dd3a5d4eae8.0,20.0,20.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6ed7c78cc0069575e6cd80bdeaf64ca2.1,8.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
110e2659a8a302f3c56b810e642f5db9.0,20.0,20.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
746c92d2610e9dde94e0cd3c25b73bc8.1,9.0,9.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
069f97d527acad87ffba502c662fb4a4.1,14.0,14.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
119331666e1ed3e14d67f5df8b2c0a16.0,608.0,608.0,136.0,136.0,2.0,2.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ce8c2cf11af3da776ce4984a4daef51e.0,1279.0,1279.0,320.0,320.0,1.0,1.0,1.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
961f3b8917614b90098d53bd60ae6162.0,635.0,635.0,77.0,77.0,1.0,1.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
75da14ee7bd56d379686d9f274c19279.1,10.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
a1778a6ae632545f4560a2d766199568.0,3409.0,3409.0,639.0,639.0,5.0,5.0,5.0,402.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a7b84c5eac19aa750bd45050dc6ad456.0,25.0,25.0,6.0,6.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a3ac1cd7ea461c773f9d00009584c909.1,172.0,172.0,72.0,72.0,2.0,2.0,2.0,18.0,0.0,0.0,6.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1
1c28dabd326c0cfbe08facf83608ebe6.1,9.0,9.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ab52ab59a2f9e8596d408a29179387ca.0,46.0,46.0,13.0,13.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21346311dfa9e8518f7523f98bc53484.0,44.0,44.0,13.0,13.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3f4a94ef85d863f898c83df6341321ed.0,543.0,542.0,281.0,280.0,1.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3896f928030c2f029076481c52d12f2d.1,19.0,19.0,6.0,6.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
a782475d4793b9a520bb18dfa4388825.1,14.0,14.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
97fc72bc5c27bc6e2b8f71f5b65746b1.1,14.0,14.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
eafd798a7f5572c6028ed58cdd74d3f6.0,134.0,134.0,28.0,20.0,1.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a2cb44fbbeea96697c66bc7525ef4c3d.0,12.0,12.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0fcc577136167af722af4f44ee4a6d33.1,14.0,14.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
a232c6dbf8cef35b2b585ac8f28fd83d.1,7.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
00f0fb9e83feaf49279dbbcbb8a4f59d.1,19.0,19.0,6.0,6.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3305de7f541c0e9965e0500c300d610b.0,49.0,49.0,42.0,42.0,0.0,0.0,2.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
7414024c81390189656fdd50d8ad6470.1,14.0,14.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
cf72569b0d52fb584cfdb910a83fb61a.0,55.0,55.0,51.0,51.0,0.0,0.0,1.0,0.0,1.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ec9f8c9fc10533d3e2736bbcab3ea160.1,14.0,14.0,2.0,2.0,1.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
08689c06ffce94445bbdb186b0e051cf.1,9.0,9.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
e66d91f39a662662e5de807b1e7d72d6.1,5.0,5.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0edb94dff908c48e7cb5680a9804e9f8.0,300.0,300.0,122.0,122.0,2.0,2.0,2.0,34.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
c4edc1f42062a8c0ecd2c069bcb62c7a.0,32.0,32.0,6.0,6.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
cf58be6fb863f82b5dfb5fe72c8f28d2.0,359.0,359.0,245.0,245.0,1.0,1.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30e7cab0319a99f06cbe4e20b45de1c1.0,121.0,121.0,119.0,119.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ae2e574c0881961fddd481c77d424974.0,1300.0,1300.0,487.0,487.0,3.0,3.0,3.0,353.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
934be3d56fe9b955931cff55d8bc19c5.0,2636.0,2636.0,493.0,493.0,1.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a3944098a055b02514e03435de52b254.1,65.0,65.0,13.0,13.0,2.0,2.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5c406afb937d2f6c7be55079e84516f2.0,17.0,17.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1fae3d246df4ad5baa05335eb03debfc.0,575.0,575.0,457.0,457.0,0.0,0.0,2.0,116.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0e593c1b7c22ea40e4f01b3c672032c7.0,141.0,141.0,55.0,55.0,2.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
75b853d626e3014a71dc101cbcd61709.0,313.0,313.0,94.0,94.0,1.0,1.0,1.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bb81ed61c73ace53e31fb3c996044387.0,543.0,542.0,281.0,280.0,1.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
60b5a40228efc4ca83a33cb204c2ae7c.0,312.0,312.0,53.0,53.0,2.0,2.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0b6ceb59bf5c854d0ad88ec4cf8974b9.1,17.0,17.0,5.0,5.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
a4f2c19e4efc96121df98f5cfa877895.0,246.0,245.0,72.0,72.0,2.0,2.0,2.0,47.0,1.0,0.0,13.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9007e1bcb5496149e7e20d517560e322.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
03369a8b7e8c29eec4ab522521e45250.0,75.0,75.0,33.0,33.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a84b1e69079482d020ee8aa3848436c6.0,604.0,604.0,235.0,235.0,2.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8c000581019a12bc0bfec4b6a415e951.1,4.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
a9c42ff915d805b6998240c6c6a6dec0.1,7.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
fef11de8d01c8b9cd74380ee95975b1d.1,14.0,14.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
aaa8fc97564e99debe174b78bc8f716e.0,45.0,44.0,15.0,14.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
e2ac8bec7b039682f9930b3f03fe4706.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
236346017267ce631bc9338c37a7685d.0,56.0,56.0,23.0,23.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fe936fed15a94838a0e84f6c78be0c7a.1,14.0,14.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
7bac3da780f7882bd40c8c88bf60ec20.1,571.0,571.0,267.0,267.0,1.0,1.0,1.0,3.0,1.0,0.0,103.0,104.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40878f1b7b3bc42c12c7d4329ac3e9f4.1,14.0,14.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
8b03d05aab5134e65478541efa3a51f2.0,29.0,29.0,15.0,15.0,2.0,2.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8e3e25dc76774166e8f356e1a8663550.0,34.0,34.0,7.0,7.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
e4da7625960fdadbefd5518eef60ca80.0,150.0,150.0,54.0,54.0,2.0,2.0,2.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a59ecb32410e782d7068e28722193505.1,14.0,14.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
c212646139da4c36b36598e28dc4c7a4.1,14.0,14.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
343902a06d5f59514d00dc2bb83b2692.0,1686.0,1686.0,287.0,287.0,1.0,1.0,1.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
77fabea50ec974e9ad1b4150e64d9633.1,20.0,19.0,6.0,6.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
59cae458c10feacdc4e306a73b4d58eb.0,38.0,38.0,11.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3e7fe5f15f69aefedcee3a3e8fcb8384.0,3850.0,3850.0,415.0,415.0,2.0,2.0,2.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10cb603e4e87a4e93e953034e32058ed.0,534.0,534.0,297.0,297.0,0.0,0.0,2.0,235.0,0.0,54.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
d793410ae3e1a30f3762650da9cab915.1,14.0,14.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
4ac0ada66090be364f9b062941062995.0,30.0,30.0,14.0,14.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
b31c8b1dc0d0d80bce327ddf9119a38f.1,12.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
d38e598fc9a7551f9946c1256efa9592.1,19.0,19.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1
48f60e3c0af9d2f2b6af5f896a50c4a7.1,19.0,19.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1
1618d09ff580014b251794222bb0f0f9.1,42.0,42.0,12.0,12.0,1.0,1.0,1.0,10.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
edcca99d6fb077405820073fee9b83c9.0,479.0,479.0,191.0,180.0,1.0,1.0,1.0,95.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
06a69eb6e16866e42f6652790b636626.0,3264.0,3264.0,1087.0,1087.0,2.0,2.0,2.0,543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
55b5bf379a82688a5678cf2733f51705.0,614.0,614.0,264.0,264.0,2.0,2.0,2.0,138.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4e1601866006a9ede198d42b32eaeba1.1,42.0,42.0,12.0,12.0,1.0,1.0,1.0,10.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
bbcf81ae0f8acd86f110915cdb93e8bf.0,121.0,120.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7382e7edd4e0e64e4f568b45a0c5857a.0,89.0,89.0,21.0,19.0,1.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
b60d8b0ff925a3b75e9829fa391426d3.0,214.0,214.0,63.0,63.0,2.0,2.0,2.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
f67d91dd291dfdf512b575ec115d4072.0,99.0,99.0,44.0,44.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9f90425093c8879e99bfeb01600b4873.1,17.0,17.0,5.0,5.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
f63db14c4956f56e0aa15477df60bd36.1,54.0,54.0,14.0,14.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
fc96249905c977bb3de43a4099da28ee.0,251.0,251.0,104.0,104.0,2.0,2.0,2.0,23.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3873b7bbbd397bb260960a67eaa2b6bc.0,61.0,61.0,15.0,15.0,1.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1cc5df6af1c2089a3b07e123d0c62e2a.0,48.0,48.0,20.0,20.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ccae470b168a313bdc8812bb1c75c703.0,39.0,39.0,12.0,12.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0c79006b18aa6cae2ca5ed2ef2ffbf7f.0,23.0,23.0,9.0,9.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
da1ee4bf1ddb2f35d5ae8b12e03e86a4.1,17.0,17.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7ea56cb4015010744acbad1484646b73.0,87.0,87.0,42.0,42.0,1.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
e95c54f920ea4233b3205a42d96fa994.0,12.0,11.0,4.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8d62cae4a04b029964cf3035ebb3590a.1,7.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5319091875c936cffba5699dbe68432f.0,34.0,34.0,15.0,15.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
b982bd3bbec8b892e61f31a2fb64cbfe.0,69.0,69.0,18.0,18.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7b2f6bcbfe4f35eebe8de159df5d4fa5.0,41.0,41.0,18.0,18.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3915d848e12a993bb16272dbb87eee92.1,14.0,14.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
6f25c16da39d3097258e650d7a136ce6.1,306.0,306.0,77.0,64.0,1.0,1.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7e9ea6666038815126f81131cc12a308.0,639.0,639.0,95.0,95.0,2.0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6c3ff4e9385871ee4d64bc7c725f11c4.1,14.0,14.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
e066b64bf7783b8f9f3913d2681776ef.0,286.0,286.0,281.0,281.0,0.0,0.0,2.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0
d7b686d3986ff9ddc1b01626ff9a243b.0,36.0,36.0,12.0,11.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
